Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1700-12-31,8.3,,,1.0
1701-12-31,18.3,,,1.0
1702-12-31,26.7,,,1.0
1703-12-31,38.3,,,1.0
1704-12-31,60.0,,,1.0
1705-12-31,96.7,,,1.0
1706-12-31,48.3,,,1.0
1707-12-31,33.3,,,1.0
1708-12-31,16.7,,,1.0
1709-12-31,13.3,,,1.0
1710-12-31,5.0,,,1.0
1711-12-31,0.0,,,1.0
1712-12-31,0.0,,,1.0
1713-12-31,3.3,,,1.0
1714-12-31,18.3,,,1.0
1715-12-31,45.0,,,1.0
1716-12-31,78.3,,,1.0
1717-12-31,105.0,,,1.0
1718-12-31,100.0,,,1.0
1719-12-31,65.0,,,1.0
1720-12-31,46.7,,,1.0
1721-12-31,43.3,,,1.0
1722-12-31,36.7,,,1.0
1723-12-31,18.3,,,1.0
1724-12-31,35.0,,,1.0
1725-12-31,66.7,,,1.0
1726-12-31,130.0,,,1.0
1727-12-31,203.3,,,1.0
1728-12-31,171.7,,,1.0
1729-12-31,121.7,,,1.0
1730-12-31,78.3,,,1.0
1731-12-31,58.3,,,1.0
1732-12-31,18.3,,,1.0
1733-12-31,8.3,,,1.0
1734-12-31,26.7,,,1.0
1735-12-31,56.7,,,1.0
1736-12-31,116.7,,,1.0
1737-12-31,135.0,,,1.0
1738-12-31,185.0,,,1.0
1739-12-31,168.3,,,1.0
1740-12-31,121.7,,,1.0
1741-12-31,66.7,,,1.0
1742-12-31,33.3,,,1.0
1743-12-31,26.7,,,1.0
1744-12-31,8.3,,,1.0
1745-12-31,18.3,,,1.0
1746-12-31,36.7,,,1.0
1747-12-31,66.7,,,1.0
1748-12-31,100.0,,,1.0
1749-12-31,134.8,,,1.0
1750-12-31,139.0,,,1.0
1751-12-31,79.5,,,1.0
1752-12-31,79.7,,,1.0
1753-12-31,51.2,,,1.0
1754-12-31,20.3,,,1.0
1755-12-31,16.0,,,1.0
1756-12-31,17.0,,,1.0
1757-12-31,54.0,,,1.0
1758-12-31,79.3,,,1.0
1759-12-31,90.0,,,1.0
1760-12-31,104.8,,,1.0
1761-12-31,143.2,,,1.0
1762-12-31,102.0,,,1.0
1763-12-31,75.2,,,1.0
1764-12-31,60.7,,,1.0
1765-12-31,34.8,,,1.0
1766-12-31,19.0,,,1.0
1767-12-31,63.0,,,1.0
1768-12-31,116.3,,,1.0
1769-12-31,176.8,,,1.0
1770-12-31,168.0,,,1.0
1771-12-31,136.0,,,1.0
1772-12-31,110.8,,,1.0
1773-12-31,58.0,,,1.0
1774-12-31,51.0,,,1.0
1775-12-31,11.7,,,1.0
1776-12-31,33.0,,,1.0
1777-12-31,154.2,,,1.0
1778-12-31,257.3,,,1.0
1779-12-31,209.8,,,1.0
1780-12-31,141.3,,,1.0
1781-12-31,113.5,,,1.0
1782-12-31,64.2,,,1.0
1783-12-31,38.0,,,1.0
1784-12-31,17.0,,,1.0
1785-12-31,40.2,,,1.0
1786-12-31,138.2,,,1.0
1787-12-31,220.0,,,1.0
1788-12-31,218.2,,,1.0
1789-12-31,196.8,,,1.0
1790-12-31,149.8,,,1.0
1791-12-31,111.0,,,1.0
1792-12-31,100.0,,,1.0
1793-12-31,78.2,,,1.0
1794-12-31,68.3,,,1.0
1795-12-31,35.5,,,1.0
1796-12-31,26.7,,,1.0
1797-12-31,10.7,,,1.0
1798-12-31,6.8,,,1.0
1799-12-31,11.3,,,1.0
1800-12-31,24.2,,,1.0
1801-12-31,56.7,,,1.0
1802-12-31,75.0,,,1.0
1803-12-31,71.8,,,1.0
1804-12-31,79.2,,,1.0
1805-12-31,70.3,,,1.0
1806-12-31,46.8,,,1.0
1807-12-31,16.8,,,1.0
1808-12-31,13.5,,,1.0
1809-12-31,4.2,,,1.0
1810-12-31,0.0,,,1.0
1811-12-31,2.3,,,1.0
1812-12-31,8.3,,,1.0
1813-12-31,20.3,,,1.0
1814-12-31,23.2,,,1.0
1815-12-31,59.0,,,1.0
1816-12-31,76.3,,,1.0
1817-12-31,68.3,,,1.0
1818-12-31,52.9,9.2,213.0,1.0
1819-12-31,38.5,7.9,249.0,1.0
1820-12-31,24.2,6.4,224.0,1.0
1821-12-31,9.2,4.2,304.0,1.0
1822-12-31,6.3,3.7,353.0,1.0
1823-12-31,2.2,2.7,302.0,1.0
1824-12-31,11.4,4.6,194.0,1.0
1825-12-31,28.2,6.8,310.0,1.0
